company_name,homepage_url,main_domain
Experifun,http://experifun.com,experifun
LoopPay,http://www.looppay.com,looppay
Quisk,http://quisk.co,quisk
Todaytickets,http://www.todaytickets.de,todaytickets
Fooboo,http://www.fooboo.de,fooboo
Get Me Listed,http://www.getmelisted.net,getmelisted
Nerdies,http://www.nerdies.me,nerdies
Micron Technology,http://www.micron.com,micron
hotelsmap.com,http://www.hotelsmap.com,hotelsmap
Zidisha,http://www.zidisha.org,zidisha
Musiwave,http://www.musiwave.com,musiwave
2Duche,http://www.2duche.com,2duche
ShadesCases inc.,http://www.shadescases.com,shadescases
HTG Molecular Diagnostics,http://www.htgmolecular.com,htgmolecular
UpTo,http://upto.com,upto
TonZof,http://tonzof.com,tonzof
Go Kin Packs,http://www.gokinpacks.com,gokinpacks
B-Side Entertainment,http://www.bside.com,bside
Invivodata,https://www.invivodata.com,invivodata
sim4tec,http://www.sim4tec.com,sim4tec
EcoIntense,http://www.ecointense.de,ecointense
YOYO Holdings,http://yoyo-holdings.com,yoyo-holdings
e-SENS,http://e-sens.com,e-sens
1Life Healthcare,http://www.1life.com,1life
"CUI Global, Inc.",http://cuiglobal.com,cuiglobal
FastPay,http://www.gofastpay.com,gofastpay
Mango Bay Vacation Rentals,http://www.mangobayvacation.com,mangobayvacation
Current Communications Group,http://www.currentgroup.com,currentgroup
Verimatrix,http://verimatrix.com,verimatrix
Offbeat Guides,http://www.offbeatguides.com,offbeatguides
Asuragen,http://www.asuragen.com,asuragen
Linea,http://getlinea.com,getlinea
Enroute Systems,http://www.enroutecorp.com,enroutecorp
Chaperone Technologies,http://www.chaperonetechnologies.com,chaperonetechnologies
Across The Universe,https://www.acrosstheuniverse.com,acrosstheuniverse
Otelic,http://www.otelic.com,otelic
Scimetrika,http://scimetrika.com,scimetrika
TopCat Research,http://www.topcat-research.com,topcat-research
BoardEvals,http://www.boardevals.com,boardevals
AntCor,http://web.antcor.com,web
Jugo,http://www.playjugo.com,playjugo
LAM Aviation,http://lamaviation.com,lamaviation
Accedian Networks,http://www.accedian.com,accedian
CREATIV,http://www.creativ.com,creativ
Takeda Cambridge,http://www.takedacam.com,takedacam
Elance-oDesk,http://www.elance-odesk.com,elance-odesk
Linktone,http://www.linktone.com,linktone
OneSchool,http://oneschool.com,oneschool
Hear It First,https://www.hearitfirst.com,hearitfirst
Kik,http://kik.com,kik
Planday,http://www.planday.com,planday
Snow & Alps,http://snowbon.com,snowbon
FINXI,http://finxi.com.br,finxi
Celldex Therapeutics,http://celldex.com,celldex
Hollywood Vision Center,http://www.hollywoodvision.com/vision-therapy.html,hollywoodvision
Medical Connections,http://medicalconnections.com,medicalconnections
Nuvola,http://www.getnuvola.com,getnuvola
D.light Design,http://www.dlightdesign.com,dlightdesign
Thename.is,http://thename.is,thename
Gaston Labs,http://GastonLabs.com,gastonlabs
Orckit Communications,http://www.orckit.com,orckit
Web Design Giant Inc.,http://www.webdesigngiant.com,webdesigngiant
RelayRides,https://relayrides.com,relayrides
EG Technology,https://www.egtechnology.com,egtechnology
"Madison Reed, Inc.",http://www.madison-reed.com,madison-reed
Enliven Marketing Technologies,http://www.enliven.com,enliven
QBE,http://qbe.net,qbe
Zipline Medical,http://www.ziplinemedical.com,ziplinemedical
Novast Laboratories,https://www.novastlaboratories.com,novastlaboratories
Extreme Wireless Communication,http://www.extreme-wireless.com,extreme-wireless
ChipSensors,http://www.chipsensors.com,chipsensors
Prolify,http://www.prolify.com,prolify
Volantis Systems,http://www.volantis.com,volantis
TraveDoc,http://travedoc.com,travedoc
Winkapp,http://winkapp.co,winkapp
Best Bid,https://www.bestbid.com,bestbid
Mob Science,http://www.MobScience.com,mobscience
PowerPractical,http://www.powerpractical.com,powerpractical
Project Dance,https://www.projectdance.com,projectdance
CytoLogic,http://www.cytologic.com,cytologic
Knowthena,http://knowthena.com,knowthena
Alter-G,http://www.alter-g.com,alter-g
Avosoft,http://www.avopress.com,avopress
GET Holding NV,http://www.emerce.nl/nieuws.jsp?id=3001552,emerce
Momspot,http://www.momspot.com,momspot
Drone.io,http://drone.io,drone
Roundscapes,http://www.the42.com,the42
Amirite.com,http://www.amirite.com,amirite
Metwit,http://metwit.com,metwit
Sapheon,http://www.sapheoninc.com,sapheoninc
MeisterLabs,http://www.mindmeister.com,mindmeister
