company_name,funding_total_usd,total_funding_for_year
1Life Healthcare,30000000.0,56731791.0
24Fundraiser.com,400000.0,227829943.0
3Guppies,20000000.0,232450100.0
5to1,17129760.0,269323800.0
9flats,0.0,83218390.0
AGLOGIC,2500000.0,6304991.0
ANDalyze,2277608.0,233384724.0
Accedian Networks,31040000.0,259642822.0
Ad Hoc Labs,2000000.0,57933192.0
Adeze,5500000.0,233384724.0
AdvanDx,22200000.0,56731791.0
Agrar33,1000000.0,85699097.0
Allele Biotech,7000000.0,305740992.0
AlleyWatch,40000.0,57933192.0
Alter-G,23000000.0,233384724.0
Ambassador,18000.0,140351726.0
Ameristream,0.0,323702085.0
Analyte Health,38550000.0,227829943.0
"Anchor ID, Inc.",590000.0,37600600.0
AngioSlide,30150000.0,233384724.0
Anita Margarita,20454.0,83218390.0
Apiary,1750000.0,83218390.0
Appiness Inc,200000.0,37600600.0
Applicasa,1000000.0,83218390.0
Asuragen,80000000.0,323702085.0
Asymchem Laboratories (Tianjin),0.0,7878637.0
AuthorityLabs,15000.0,193517126.0
AutoVirt,24300000.0,227829943.0
Avosoft,100000.0,140351726.0
B-Side Entertainment,7350000.0,233384724.0
BCM Solutions,0.0,269323800.0
BIO-PATH HOLDINGS,2317000.0,83218390.0
Bango,10200000.0,305740992.0
BehavioSec,2026620.0,227829943.0
Best Bid,0.0,140351726.0
Bia,1900000.0,57933192.0
Bionomics,20469183.0,305740992.0
Blackwave,28000000.0,323702085.0
Blade Games World,5926462.0,259642822.0
BlogRadio,0.0,269323800.0
BoardEvals,100000.0,193517126.0
Bon-Bon Crepes of America,3500.0,37600600.0
Booklr,500000.0,140351726.0
BreatheAmerica,29800000.0,323702085.0
CREATIV,8750000.0,140351726.0
Callvine,4000000.0,83218390.0
Canevaflor,1666000.0,267984558.0
Cardback,170000.0,57933192.0
Cardiac Insight,10500249.0,193517126.0
CasterStats,631720.0,269323800.0
Chamson Group,0.0,83218390.0
Cheers,2500000.0,83218390.0
ChipSensors,4140000.0,227829943.0
Chirply,1100000.0,140351726.0
Chongqing Jielai Communication,438382.0,233384724.0
Chrono24.com,0.0,232450100.0
CipherMax,141535713.0,267984558.0
CiteHealth,768000.0,227829943.0
Comenta TV,538062.0,57933192.0
Community Infopoint,29222.0,269323800.0
Conferize,1330000.0,140351726.0
